[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID27.idf
Date:	14.03.2019 13:49:08
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID27                                                                                                                                                                                                                                                
Description:	27                                                                                                                                                                                                                                                              

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	23896275257	# Message: Trial_1
UserEvent	1	2	23896279444	# Message: WhiteCross
UserEvent	1	3	23897918189	# Message: ChoicePhase
UserEvent	1	4	23900406328	# Message: ChoiceLogged_1
UserEvent	1	5	23900910309	# Message: GreenCross
UserEvent	1	6	23902411074	# Message: Trial_2
UserEvent	1	7	23902417472	# Message: WhiteCross
UserEvent	1	8	23904052148	# Message: ChoicePhase
UserEvent	1	9	23905454739	# Message: ChoiceLogged_1
UserEvent	1	10	23905958231	# Message: GreenCross
UserEvent	1	11	23907459025	# Message: Trial_3
UserEvent	1	12	23907461652	# Message: WhiteCross
UserEvent	1	13	23909501537	# Message: ChoicePhase
UserEvent	1	14	23910536414	# Message: ChoiceLogged_1
UserEvent	1	15	23911040368	# Message: GreenCross
UserEvent	1	16	23912541148	# Message: Trial_4
UserEvent	1	17	23912546842	# Message: WhiteCross
UserEvent	1	18	23914178279	# Message: ChoicePhase
UserEvent	1	19	23914984706	# Message: ChoiceLogged_1
UserEvent	1	20	23915490811	# Message: GreenCross
UserEvent	1	21	23916990805	# Message: Trial_5
UserEvent	1	22	23916992787	# Message: WhiteCross
UserEvent	1	23	23918627723	# Message: ChoicePhase
UserEvent	1	24	23924514712	# Message: ChoiceLogged_2
UserEvent	1	25	23925023419	# Message: GreenCross
UserEvent	1	26	23926523944	# Message: Trial_6
UserEvent	1	27	23926526918	# Message: WhiteCross
UserEvent	1	28	23928640030	# Message: ChoicePhase
UserEvent	1	29	23930413598	# Message: ChoiceLogged_3
UserEvent	1	30	23930915871	# Message: GreenCross
UserEvent	1	31	23932416027	# Message: Trial_7
UserEvent	1	32	23932418188	# Message: WhiteCross
UserEvent	1	33	23934054370	# Message: ChoicePhase
UserEvent	1	34	23937456567	# Message: ChoiceLogged_1
UserEvent	1	35	23937959460	# Message: GreenCross
UserEvent	1	36	23939458889	# Message: Trial_8
UserEvent	1	37	23939465262	# Message: WhiteCross
UserEvent	1	38	23941104215	# Message: ChoicePhase
UserEvent	1	39	23943857377	# Message: ChoiceLogged_1
UserEvent	1	40	23944363202	# Message: GreenCross
UserEvent	1	41	23945863690	# Message: Trial_9
UserEvent	1	42	23945865162	# Message: WhiteCross
UserEvent	1	43	23947499828	# Message: ChoicePhase
UserEvent	1	44	23950905443	# Message: ChoiceLogged_1
UserEvent	1	45	23951412169	# Message: GreenCross
UserEvent	1	46	23952915099	# Message: Trial_10
UserEvent	1	47	23952921771	# Message: WhiteCross
UserEvent	1	48	23954547368	# Message: ChoicePhase
UserEvent	1	49	23956086389	# Message: ChoiceLogged_3
UserEvent	1	50	23956593302	# Message: GreenCross
UserEvent	1	51	23958095982	# Message: Trial_11
UserEvent	1	52	23958098242	# Message: WhiteCross
UserEvent	1	53	23959729614	# Message: ChoicePhase
UserEvent	1	54	23960735124	# Message: ChoiceLogged_3
UserEvent	1	55	23961236670	# Message: GreenCross
UserEvent	1	56	23962736742	# Message: Trial_12
UserEvent	1	57	23962738247	# Message: WhiteCross
UserEvent	1	58	23964377874	# Message: ChoicePhase
UserEvent	1	59	23966087709	# Message: ChoiceLogged_3
UserEvent	1	60	23966590799	# Message: GreenCross
UserEvent	1	61	23968090683	# Message: Trial_13
UserEvent	1	62	23968092631	# Message: WhiteCross
UserEvent	1	63	23969725947	# Message: ChoicePhase
UserEvent	1	64	23974782244	# Message: ChoiceLogged_3
UserEvent	1	65	23975285785	# Message: GreenCross
UserEvent	1	66	23976786076	# Message: Trial_14
UserEvent	1	67	23976791076	# Message: WhiteCross
UserEvent	1	68	23978422584	# Message: ChoicePhase
UserEvent	1	69	23981311295	# Message: ChoiceLogged_3
UserEvent	1	70	23981813927	# Message: GreenCross
UserEvent	1	71	23983316688	# Message: Trial_15
UserEvent	1	72	23983318593	# Message: WhiteCross
UserEvent	1	73	23984953300	# Message: ChoicePhase
UserEvent	1	74	23985794645	# Message: ChoiceLogged_2
UserEvent	1	75	23986297817	# Message: GreenCross
UserEvent	1	76	23987796943	# Message: Trial_16
UserEvent	1	77	23987801176	# Message: WhiteCross
UserEvent	1	78	23989434545	# Message: ChoicePhase
UserEvent	1	79	23990709228	# Message: ChoiceLogged_2
UserEvent	1	80	23991213111	# Message: GreenCross
UserEvent	1	81	23992713695	# Message: Trial_17
UserEvent	1	82	23992715077	# Message: WhiteCross
UserEvent	1	83	23994350211	# Message: ChoicePhase
UserEvent	1	84	23996138960	# Message: ChoiceLogged_3
UserEvent	1	85	23996642310	# Message: GreenCross
UserEvent	1	86	23998142946	# Message: Trial_18
UserEvent	1	87	23998144712	# Message: WhiteCross
UserEvent	1	88	23999782450	# Message: ChoicePhase
UserEvent	1	89	24005836231	# Message: ChoiceLogged_1
UserEvent	1	90	24006339390	# Message: GreenCross
UserEvent	1	91	24007840172	# Message: Trial_19
UserEvent	1	92	24007842085	# Message: WhiteCross
UserEvent	1	93	24009480166	# Message: ChoicePhase
UserEvent	1	94	24014865970	# Message: ChoiceLogged_3
UserEvent	1	95	24015373289	# Message: GreenCross
UserEvent	1	96	24016875664	# Message: Trial_20
UserEvent	1	97	24016877122	# Message: WhiteCross
UserEvent	1	98	24018508434	# Message: ChoicePhase
UserEvent	1	99	24019634944	# Message: ChoiceLogged_3
UserEvent	1	100	24020138748	# Message: GreenCross
UserEvent	1	101	24021641494	# Message: Trial_21
UserEvent	1	102	24021643143	# Message: WhiteCross
UserEvent	1	103	24023272592	# Message: ChoicePhase
UserEvent	1	104	24024297202	# Message: ChoiceLogged_1
UserEvent	1	105	24024800714	# Message: GreenCross
UserEvent	1	106	24026304930	# Message: Trial_22
UserEvent	1	107	24026307408	# Message: WhiteCross
UserEvent	1	108	24027937809	# Message: ChoicePhase
UserEvent	1	109	24029043893	# Message: ChoiceLogged_1
UserEvent	1	110	24029546718	# Message: GreenCross
UserEvent	1	111	24031049826	# Message: Trial_23
UserEvent	1	112	24031052702	# Message: WhiteCross
UserEvent	1	113	24032686379	# Message: ChoicePhase
UserEvent	1	114	24033575888	# Message: ChoiceLogged_2
UserEvent	1	115	24034078858	# Message: GreenCross
UserEvent	1	116	24035579512	# Message: Trial_24
UserEvent	1	117	24035580972	# Message: WhiteCross
UserEvent	1	118	24037351544	# Message: ChoicePhase
UserEvent	1	119	24039407012	# Message: ChoiceLogged_3
UserEvent	1	120	24039914948	# Message: GreenCross
UserEvent	1	121	24041415885	# Message: Trial_25
UserEvent	1	122	24041417978	# Message: WhiteCross
UserEvent	1	123	24043048805	# Message: ChoicePhase
UserEvent	1	124	24044438639	# Message: ChoiceLogged_3
UserEvent	1	125	24044941478	# Message: GreenCross
UserEvent	1	126	24046441495	# Message: Trial_26
UserEvent	1	127	24046443417	# Message: WhiteCross
UserEvent	1	128	24048180362	# Message: ChoicePhase
UserEvent	1	129	24048920352	# Message: ChoiceLogged_1
UserEvent	1	130	24049423952	# Message: GreenCross
UserEvent	1	131	24050925110	# Message: Trial_27
UserEvent	1	132	24050925768	# Message: WhiteCross
UserEvent	1	133	24052567075	# Message: ChoicePhase
UserEvent	1	134	24054401491	# Message: ChoiceLogged_3
UserEvent	1	135	24054904746	# Message: GreenCross
UserEvent	1	136	24056404489	# Message: Trial_28
UserEvent	1	137	24056405904	# Message: WhiteCross
UserEvent	1	138	24058145288	# Message: ChoicePhase
UserEvent	1	139	24060368270	# Message: ChoiceLogged_1
UserEvent	1	140	24060877298	# Message: GreenCross
UserEvent	1	141	24062378073	# Message: Trial_29
UserEvent	1	142	24062380457	# Message: WhiteCross
UserEvent	1	143	24064125133	# Message: ChoicePhase
UserEvent	1	144	24065214260	# Message: ChoiceLogged_2
UserEvent	1	145	24065720411	# Message: GreenCross
UserEvent	1	146	24067220773	# Message: Trial_30
UserEvent	1	147	24067223097	# Message: WhiteCross
UserEvent	1	148	24068856772	# Message: ChoicePhase
UserEvent	1	149	24071646567	# Message: ChoiceLogged_1
UserEvent	1	150	24072153261	# Message: GreenCross
UserEvent	1	151	24073655432	# Message: Trial_31
UserEvent	1	152	24073656915	# Message: WhiteCross
UserEvent	1	153	24075554272	# Message: ChoicePhase
UserEvent	1	154	24077043326	# Message: ChoiceLogged_2
UserEvent	1	155	24077546906	# Message: GreenCross
UserEvent	1	156	24079047712	# Message: Trial_32
UserEvent	1	157	24079049872	# Message: WhiteCross
UserEvent	1	158	24080735636	# Message: ChoicePhase
UserEvent	1	159	24081675146	# Message: ChoiceLogged_1
UserEvent	1	160	24082181445	# Message: GreenCross
UserEvent	1	161	24083681711	# Message: Trial_33
UserEvent	1	162	24083683781	# Message: WhiteCross
UserEvent	1	163	24085350604	# Message: ChoicePhase
UserEvent	1	164	24092804892	# Message: ChoiceLogged_2
UserEvent	1	165	24093309732	# Message: GreenCross
UserEvent	1	166	24094810541	# Message: Trial_34
UserEvent	1	167	24094812874	# Message: WhiteCross
UserEvent	1	168	24096446652	# Message: ChoicePhase
UserEvent	1	169	24102804005	# Message: ChoiceLogged_2
UserEvent	1	170	24103307400	# Message: GreenCross
UserEvent	1	171	24104807986	# Message: Trial_35
UserEvent	1	172	24104809859	# Message: WhiteCross
UserEvent	1	173	24106543956	# Message: ChoicePhase
UserEvent	1	174	24107449258	# Message: ChoiceLogged_2
UserEvent	1	175	24107955159	# Message: GreenCross
UserEvent	1	176	24109455867	# Message: Trial_36
UserEvent	1	177	24109457101	# Message: WhiteCross
UserEvent	1	178	24111094484	# Message: ChoicePhase
UserEvent	1	179	24112631188	# Message: ChoiceLogged_3
UserEvent	1	180	24113139382	# Message: GreenCross
UserEvent	1	181	24114639316	# Message: Trial_37
UserEvent	1	182	24114641078	# Message: WhiteCross
UserEvent	1	183	24116506721	# Message: ChoicePhase
UserEvent	1	184	24118311975	# Message: ChoiceLogged_3
UserEvent	1	185	24118816107	# Message: GreenCross
UserEvent	1	186	24120316844	# Message: Trial_38
UserEvent	1	187	24120318749	# Message: WhiteCross
UserEvent	1	188	24122089093	# Message: ChoicePhase
UserEvent	1	189	24126942266	# Message: ChoiceLogged_2
UserEvent	1	190	24127446669	# Message: GreenCross
UserEvent	1	191	24128954047	# Message: Trial_39
UserEvent	1	192	24128956138	# Message: WhiteCross
UserEvent	1	193	24130734778	# Message: ChoicePhase
UserEvent	1	194	24136272230	# Message: ChoiceLogged_1
UserEvent	1	195	24136776593	# Message: GreenCross
UserEvent	1	196	24138281335	# Message: Trial_40
UserEvent	1	197	24138282676	# Message: WhiteCross
UserEvent	1	198	24139914569	# Message: ChoicePhase
UserEvent	1	199	24141021140	# Message: ChoiceLogged_1
UserEvent	1	200	24141523355	# Message: GreenCross
UserEvent	1	201	24143024024	# Message: Trial_41
UserEvent	1	202	24143024862	# Message: WhiteCross
UserEvent	1	203	24144663589	# Message: ChoicePhase
UserEvent	1	204	24147068713	# Message: ChoiceLogged_3
UserEvent	1	205	24147573890	# Message: GreenCross
UserEvent	1	206	24149079528	# Message: Trial_42
UserEvent	1	207	24149081737	# Message: WhiteCross
UserEvent	1	208	24150728657	# Message: ChoicePhase
UserEvent	1	209	24152019137	# Message: ChoiceLogged_1
UserEvent	1	210	24152524843	# Message: GreenCross
UserEvent	1	211	24154025304	# Message: Trial_43
UserEvent	1	212	24154029389	# Message: WhiteCross
UserEvent	1	213	24155659215	# Message: ChoicePhase
UserEvent	1	214	24158198600	# Message: ChoiceLogged_1
UserEvent	1	215	24158701451	# Message: GreenCross
UserEvent	1	216	24160205181	# Message: Trial_44
UserEvent	1	217	24160213369	# Message: WhiteCross
UserEvent	1	218	24161840251	# Message: ChoicePhase
UserEvent	1	219	24165412709	# Message: ChoiceLogged_2
UserEvent	1	220	24165916412	# Message: GreenCross
UserEvent	1	221	24167419270	# Message: Trial_45
UserEvent	1	222	24167420758	# Message: WhiteCross
UserEvent	1	223	24169053993	# Message: ChoicePhase
UserEvent	1	224	24170610104	# Message: ChoiceLogged_3
UserEvent	1	225	24171113853	# Message: GreenCross
UserEvent	1	226	24172614684	# Message: Trial_46
UserEvent	1	227	24172616706	# Message: WhiteCross
UserEvent	1	228	24174319017	# Message: ChoicePhase
UserEvent	1	229	24175408344	# Message: ChoiceLogged_2
UserEvent	1	230	24175911428	# Message: GreenCross
UserEvent	1	231	24177411196	# Message: Trial_47
UserEvent	1	232	24177413139	# Message: WhiteCross
UserEvent	1	233	24179117470	# Message: ChoicePhase
UserEvent	1	234	24181290049	# Message: ChoiceLogged_2
UserEvent	1	235	24181800191	# Message: GreenCross
UserEvent	1	236	24183300265	# Message: Trial_48
UserEvent	1	237	24183301711	# Message: WhiteCross
UserEvent	1	238	24184934981	# Message: ChoicePhase
