[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID8.idf
Date:	08.03.2019 08:54:32
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID8                                                                                                                                                                                                                                                 
Description:	8                                                                                                                                                                                                                                                               

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	1682490181	# Message: Trial_1
UserEvent	1	2	1682494687	# Message: WhiteCross
UserEvent	1	3	1684483916	# Message: ChoicePhase
UserEvent	1	4	1686889153	# Message: ChoiceLogged_1
UserEvent	1	5	1687396680	# Message: GreenCross
UserEvent	1	6	1688896841	# Message: Trial_2
UserEvent	1	7	1688899262	# Message: WhiteCross
UserEvent	1	8	1690531726	# Message: ChoicePhase
UserEvent	1	9	1692836991	# Message: ChoiceLogged_1
UserEvent	1	10	1693341428	# Message: GreenCross
UserEvent	1	11	1694841057	# Message: Trial_3
UserEvent	1	12	1694843296	# Message: WhiteCross
UserEvent	1	13	1696481375	# Message: ChoicePhase
UserEvent	1	14	1698486763	# Message: ChoiceLogged_2
UserEvent	1	15	1698991009	# Message: GreenCross
UserEvent	1	16	1700492292	# Message: Trial_4
UserEvent	1	17	1700494517	# Message: WhiteCross
UserEvent	1	18	1702194080	# Message: ChoicePhase
UserEvent	1	19	1704666202	# Message: ChoiceLogged_1
UserEvent	1	20	1705169882	# Message: GreenCross
UserEvent	1	21	1706671070	# Message: Trial_5
UserEvent	1	22	1706673232	# Message: WhiteCross
UserEvent	1	23	1708308760	# Message: ChoicePhase
UserEvent	1	24	1711130366	# Message: ChoiceLogged_1
UserEvent	1	25	1711634493	# Message: GreenCross
UserEvent	1	26	1713137241	# Message: Trial_6
UserEvent	1	27	1713139145	# Message: WhiteCross
UserEvent	1	28	1714774802	# Message: ChoicePhase
UserEvent	1	29	1717678346	# Message: ChoiceLogged_1
UserEvent	1	30	1718181299	# Message: GreenCross
UserEvent	1	31	1719681467	# Message: Trial_7
UserEvent	1	32	1719685916	# Message: WhiteCross
UserEvent	1	33	1721770093	# Message: ChoicePhase
UserEvent	1	34	1725258686	# Message: ChoiceLogged_2
UserEvent	1	35	1725766032	# Message: GreenCross
UserEvent	1	36	1727267895	# Message: Trial_8
UserEvent	1	37	1727270666	# Message: WhiteCross
UserEvent	1	38	1728900530	# Message: ChoicePhase
UserEvent	1	39	1735521410	# Message: ChoiceLogged_3
UserEvent	1	40	1736025194	# Message: GreenCross
UserEvent	1	41	1737525256	# Message: Trial_9
UserEvent	1	42	1737527624	# Message: WhiteCross
UserEvent	1	43	1739230176	# Message: ChoicePhase
UserEvent	1	44	1741485755	# Message: ChoiceLogged_3
UserEvent	1	45	1741987969	# Message: GreenCross
UserEvent	1	46	1743488245	# Message: Trial_10
UserEvent	1	47	1743490561	# Message: WhiteCross
UserEvent	1	48	1745128054	# Message: ChoicePhase
UserEvent	1	49	1749366307	# Message: ChoiceLogged_1
UserEvent	1	50	1749868925	# Message: GreenCross
UserEvent	1	51	1751368842	# Message: Trial_11
UserEvent	1	52	1751370799	# Message: WhiteCross
UserEvent	1	53	1753275275	# Message: ChoicePhase
UserEvent	1	54	1757313514	# Message: ChoiceLogged_2
UserEvent	1	55	1757817818	# Message: GreenCross
UserEvent	1	56	1759318090	# Message: Trial_12
UserEvent	1	57	1759320574	# Message: WhiteCross
UserEvent	1	58	1761322362	# Message: ChoicePhase
UserEvent	1	59	1767259764	# Message: ChoiceLogged_1
UserEvent	1	60	1767761882	# Message: GreenCross
UserEvent	1	61	1769264978	# Message: Trial_13
UserEvent	1	62	1769267545	# Message: WhiteCross
UserEvent	1	63	1770902511	# Message: ChoicePhase
UserEvent	1	64	1774358001	# Message: ChoiceLogged_1
